What is the main topic of Chapter 5 in "Corporate Computer Security, Fifth Edition" by Randall J. Boyle and Raymond R. Panko?|Access Control.|Cybersecurity, Access Control, Chapter Overview|5-1
What are the four categories that credentials for authentication can be based on?|Credentials can be based on:<br>- What you know (e.g., a password)<br>- What you have (e.g., an access card)<br>- What you are (e.g., your fingerprint)<br>- What you do (e.g., speaking a passphrase)|Authentication, Credentials, Security Factors|5-7
What is Two-Factor Authentication (2FA)?|Two-Factor Authentication uses two different forms of authentication to provide defense in depth. For example, an access card (something you have) and a PIN (something you know).|2FA, Authentication, Security Layers|5-8
What is Multifactor Authentication (MFA)?|Multifactor Authentication uses two or more types of authentication.|MFA, Authentication, Security Layers|5-8
Can Two-Factor or Multifactor Authentication be defeated?|Yes, they can be defeated by methods like a Trojan horse on the user's PC or a man-in-the-middle attack using a fake website.|2FA, MFA, Security Risks, Trojan Horse, Man-in-the-Middle|5-8
What is a Trojan horse in the context of cybersecurity?|A Trojan horse is a type of malicious software disguised as legitimate software, which can be used to steal credentials or compromise a system. [External Supplement]|Malware, Trojan Horse, Cybersecurity Threat|5-8
What is a man-in-the-middle (MITM) attack?|A man-in-the-middle attack is where an attacker secretly intercepts and possibly alters communications between two parties who believe they are directly communicating, often to steal information like login credentials. [External Supplement]|MITM, Cyber Attack, Eavesdropping|5-8
What is Individual Access Control?|Individual access control bases access rules on individual user accounts.|Access Control, Individual Accounts|5-9
What is Role-Based Access Control (RBAC)?|Role-Based Access Control (RBAC) bases access rules on organizational roles (e.g., buyer, team member). Individual accounts are assigned to roles, giving them access to that role's resources.|RBAC, Access Control, Roles|5-9
What are the benefits of RBAC compared to individual access control?|RBAC is generally cheaper and less error-prone than basing access rules on individual accounts.|RBAC, Benefits, Efficiency|5-9
What is a potential weakness of technical access protections?|People and organizational forces may try to circumvent access protections.|Access Control, Human Factor, Organizational Security|5-9
What is Mandatory Access Control (MAC)?|Mandatory Access Control (MAC) is a system where access control rules are set by higher authorities and cannot be altered by departments or individuals.|MAC, Access Control, Security Policy|5-10
What is Discretionary Access Control (DAC)?|Discretionary Access Control (DAC) allows departments or individuals to alter access control rules set by higher authorities.|DAC, Access Control, Security Policy|5-10
Which is more secure, MAC or DAC, and what is a drawback of the more secure option?|MAC provides stronger security but is very difficult to implement.|MAC, DAC, Security Strength, Implementation|5-10
What is Multilevel Security?|Multilevel Security is a system where resources are rated by security level (e.g., Public, Secret, Top Secret), and people are given a corresponding clearance level.|Multilevel Security, Classification, Clearance|5-11
What are some examples of security levels in Multilevel Security?|Public, Sensitive but unclassified, Secret, Top secret.|Security Levels, Data Classification|5-11
How do rules work in Multilevel Security?|Some rules are simple (e.g., a person with secret clearance cannot read top secret documents). Some are complex (e.g., handling a paragraph from a top secret document placed in a secret document). Access control models address these complexities.|Multilevel Security, Access Rules|5-11
What is the first step in establishing physical access and security?|A Risk Analysis must be done first.|Physical Security, Risk Analysis|5-12
What is a key principle for a Physical Security Perimeter?|Ideally, there should be only a single point of entry (excluding emergency exits).|Physical Security, Perimeter, Entry Points|5-12
How should access through entry points (including emergency exits) be managed?|Access should be justified, authorized, logged, and monitored.|Physical Security, Access Management|5-12
What are some aspects of physical entry controls?|Securing offices, rooms, and facilities; protecting against external and environmental threats; rules for working in secure areas; and managing public access, delivery, and loading areas.|Physical Security, Entry Controls|5-12
According to ISO/IEC 11.2, what does Equipment Security involve regarding siting and utilities?|It involves equipment siting and protection, and supporting utilities like electricity, water, and HVAC, including uninterruptible power supplies (UPS) and generators that are frequently tested.|Physical Security, Equipment Security, ISO/IEC 11.2|5-13
What does ISO/IEC 11.2 say about Cabling Security?|Cabling security measures include using conduits, underground wiring, etc.|Physical Security, Cabling Security, ISO/IEC 11.2|5-13
How should security be handled during off-site equipment maintenance according to ISO/IEC 11.2?|Permission is needed for taking equipment offsite, and sensitive information must be removed.|Physical Security, Off-site Maintenance, ISO/IEC 11.2|5-13
What rules does ISO/IEC 11.2 outline for the removal of property and off-premises equipment security?|Rules for removal of property, security of equipment off-premises (constant attendance unless locked securely), and considering insurance.|Physical Security, Equipment Security, ISO/IEC 11.2|5-14
What does ISO/IEC 11.2 recommend for secure disposal or reuse of equipment?|Removal of all sensitive information.|Physical Security, Data Disposal, ISO/IEC 11.2|5-14
What are "clear desk" and "clear screen" policies according to ISO/IEC 11.2?|Policies to ensure sensitive information is not left unattended on desks or visible on screens.|Physical Security, Clear Desk, Clear Screen, ISO/IEC 11.2|5-14
What are some physical security measures against terrorism?|Setting buildings back from the street, using armed guards, and installing bullet-proof glass.|Physical Security, Terrorism, Countermeasures|5-15
What is Piggybacking (or Tailgating) in physical security?|Following an authorized user through a door without providing separate authorization.|Physical Security, Piggybacking, Tailgating|5-15
Why is preventing piggybacking difficult, and should it be done?|It can be psychologically difficult to prevent (e.g., not holding a door), but it can and should be done.|Physical Security, Piggybacking, Prevention|5-15
What is CCTV in physical security?|Closed-Circuit Television, used for monitoring.|Physical Security, CCTV, Monitoring|5-16
What are some issues with using CCTV for monitoring?|Tapes (if used) wear out. High-resolution cameras are expensive and use a lot of disk space. Low-resolution cameras may not be good enough for recognition.|Physical Security, CCTV, Limitations|5-16
What is Dumpster Diving in physical security?|Searching through trash for sensitive information.|Physical Security, Dumpster Diving, Information Theft|5-17
How can dumpster diving be prevented?|Protect trash that may contain sensitive information. Maintain trash inside corporate premises and monitor it until removed.|Physical Security, Dumpster Diving, Prevention|5-17
What are some Desktop PC Security measures?|Using locks that connect the computer to an immovable object, and enforcing login screens with strong passwords.|Physical Security, PC Security, Desktop Security|5-17
What is a reusable password?|A password that is used for weeks or months at a time.|Passwords, Reusable Passwords|5-18
What is a one-time password (OTP)?|A password that is used only once.|Passwords, OTP, One-Time Password|5-18
How is remote password guessing made more difficult?|Accounts are usually locked after a few failed login attempts.|Passwords, Security Measures, Brute Force|5-19
What are password-cracking programs?|Programs that exist to crack passwords, either by running on a computer to crack its own passwords or by running on a downloaded password file.|Passwords, Password Cracking, Security Threats|5-19
What is a common password policy regarding password reuse?|Not using the same password at multiple sites.|Passwords, Password Policies, Security Best Practices|5-20
What do password duration policies address?|How long a password can be used before it must be changed.|Passwords, Password Policies, Password Expiration|5-20
Why are shared password policies problematic?|They make auditing (tracking who did what) impossible.|Passwords, Password Policies, Auditing|5-20
What should be done with passwords that are no longer valid?|They should be disabled.|Passwords, Password Policies, Account Management|5-20
What do password policies address regarding lost passwords?|Procedures for password resets.|Passwords, Password Policies, Password Reset|5-20
What kind of attacks do weak password reset questions create opportunities for?|Social engineering attacks. For example, if secret questions like "Where were you born?" are easily discoverable.|Passwords, Password Policies, Social Engineering, Secret Questions|5-21
What are the general requirements for password complexity according to typical policies?|Passwords must be long and complex.|Passwords, Password Policies, Complexity|5-21
What are specific complexity requirements for passwords mentioned?|- At least 8 characters long.<br>- Change of case (uppercase/lowercase), not at the beginning.<br>- Digit (0 through 9), not at the end.<br>- Other keyboard character (e.g., #, $, !), not at the end.<br>- Example: tri6#Vial|Passwords, Password Policies, Complexity Rules|5-21
How should passwords be stored?|Passwords must be stored as secure hashes.|Passwords, Password Policies, Storage, Hashing|5-21
How often should passwords be audited?|Passwords should be audited regularly.|Passwords, Password Policies, Auditing|5-21
Why do many firms want to eliminate passwords?|Because of their weaknesses (e.g., easy to crack, forget, or steal). Some firms have already largely phased them out.|Passwords, Security Weaknesses, Future of Passwords|5-22
What does Figure 5-6 illustrate about common passwords?|It shows that very simple and common passwords like '123456', 'password', and 'qwerty' are used by millions of people across different platforms (Troy Hunt data, RockYou.com, Gawker.com), making them highly insecure.|Passwords, Common Passwords, Security Risks|Fig 5-6, 5-23
What are two types of access cards?|Magnetic stripe cards and Smart cards.|Access Cards, Physical Security|5-24
What is a key feature of Smart cards?|They have a microprocessor and RAM.|Smart Cards, Technology|5-24
What security feature can Smart cards implement for authentication?|They can implement public key encryption for challenge/response authentication.|Smart Cards, Encryption, Authentication|5-24
What factors must be considered when selecting access cards?|Cost and availability of card readers.|Access Cards, Implementation, Cost|5-24
What are tokens in the context of access control?|Tokens can be constantly changing password devices for one-time passwords or USB plug-in tokens.|Tokens, OTP, USB Tokens|5-24
What does Figure 5-8 illustrate?|It shows examples of a Smart access card (with a microprocessor and contact connector), a Magnetic stripe access card, and a USB access token.|Access Cards, Tokens, Visual Examples|Fig 5-8, 5-25
What technology do Proximity Access Tokens use?|They use Radio Frequency ID (RFID) technology.|Proximity Tokens, RFID, Access Control|5-26
How do Proximity Access Tokens work?|The supplicant (person trying to gain access) only has to be near a door or computer to be recognized.|Proximity Tokens, RFID, Usage|5-26
What is a common issue with access cards and tokens?|Loss and theft are frequent.|Access Cards, Tokens, Security Risks|5-26
What is important for card cancellation in case of loss or theft?|A wired network may be required for cancellation speed. Cards must be cancelled quickly if risks are considerable.|Access Cards, Card Cancellation, Security Response|5-26
Why is Two-Factor Authentication (2FA) often needed with access cards and tokens?|Because of the ease of loss and theft of the card or token itself.|2FA, Access Cards, Tokens, Security|5-27
What is commonly used as the second factor with access cards/tokens?|PINs (Personal Identification Numbers).|PINs, 2FA, Authentication|5-27
What are typical characteristics of PINs used for 2FA?|They are short (4 to 6 digits) because attempts are manual. Obvious combinations (e.g., 1111, 1234) or important dates should not be chosen.|PINs, Security, Best Practices|5-27
What is another form of two-factor authentication involving biometrics and a device?|Storing a fingerprint template on the device (e.g., a smart card) and then checking the supplicant with a fingerprint reader.|2FA, Biometrics, Fingerprint, Device Security|5-27
What is biometric authentication based on?|It is based on biological (bio) measurements (metrics).|Biometrics, Authentication, Biological Traits|5-28
What are the two categories of biometric authentication?|Based on "something you are" (e.g., fingerprint, iris pattern, face, hand geometry) or "something you do" (e.g., how you write, type).|Biometrics, Types, Authentication Factors|5-28
What is a major promise of biometrics?|To make reusable passwords obsolete.|Biometrics, Passwords, Future Technology|5-28
What does the enrollment process in a biometric system involve?|An enrollment scan, processing for key features, and storing a template of these features.|Biometrics, Enrollment, System Setup|5-29
Why is scan data variable in biometric systems?|For example, a fingerprint might be scanned differently each time. However, the key features extracted should be nearly the same.|Biometrics, Variability, Feature Extraction|5-29
How does a biometric system work during an access attempt?|It captures access data (e.g., a new fingerprint scan), converts it into key feature data, and compares it with the stored template.|Biometrics, Authentication Process, Comparison|5-29
Will biometric access key features ever be exactly the same as the template?|No, they will never be exactly the same.|Biometrics, Template Matching, Variability|5-29
What is needed in a biometric system to decide if a new scan matches a template?|Configurable decision criteria (a match index) to determine how close the match needs to be.|Biometrics, Match Index, System Configuration|5-30
What happens if the match index in a biometric system is too exact?|It will cause many false rejections (legitimate users denied access).|Biometrics, False Rejections, Accuracy|5-30
What happens if the match index in a biometric system is too loose?|It will cause more false acceptances (impostors granted access).|Biometrics, False Acceptances, Security Risk|5-30
Describe the biometric authentication system process shown in Figure 5-10.|1. Initial enrollment: User Lee's fingerprint is scanned, key features are extracted (A=01, B=101, C=001), and a template (01101001) is stored in a database.<br>2. Subsequent access: A supplicant (claiming to be Lee) scans their fingerprint, features are extracted (A=01, B=111, C=001), creating user access data (01111001).<br>3. Matching: The system compares the new access data to Lee's stored template using a match index decision criterion (is it "close enough"?).|Biometrics, Authentication Process, Enrollment, Matching|Fig 5-10, 5-31
What is the difference between an error rate and a deception rate in biometrics?|- Error rate: Refers to accuracy when the supplicant is NOT trying to deceive the system.<br>- Deception rate: The likelihood that an impostor WILL be able to deceive the system if they try.|Biometrics, Error Rate, Deception Rate, Accuracy|5-32, 5-35
What are False Acceptance Rates (FARs) in biometrics?|The percentage of people who are incorrectly identified or verified as matching a template when they should not be (e.g., an impostor is accepted).|Biometrics, FAR, False Acceptance|5-33
What are False Rejection Rates (FRRs) in biometrics?|The percentage of people who should be identified or verified as matching a template but are not (e.g., a legitimate user is rejected).|Biometrics, FRR, False Rejection|5-33
What is a common issue with vendor claims for FARs and FRRs?|They tend to be exaggerated because they are often based on tests under ideal conditions.|Biometrics, Vendor Claims, Accuracy|5-34
What is Failure to Enroll (FTE) in biometric systems?|When a subject cannot enroll in the system (e.g., due to poor fingerprints from construction work, age, etc.).|Biometrics, FTE, Enrollment Issues|5-34
What is "Verification" in biometric authentication?|The supplicant claims to be a particular person, and the system compares their access data to that single person's template to verify the claim (1:1 match). It's good for replacing passwords in logins.|Biometrics, Verification, 1-to-1 Match|5-36
If the probability of a false acceptance is 1/1000 (0.1%) per template match in verification, what is the overall probability of false acceptance?|It remains 1/1000 (0.1%) because it's a single comparison.|Biometrics, Verification, FAR|5-36
What is "Identification" in biometric authentication?|The supplicant does not state their identity. The system must compare their access data to all templates in the database to find the correct one (1:N match). Good for door access.|Biometrics, Identification, 1-to-N Match|5-37
If the probability of a false acceptance is 1/1000 per template match, and there are 500 templates in the database for identification, what is the overall probability of false acceptance?|The probability of a false acceptance becomes 500 * (1/1000) = 50%.|Biometrics, Identification, FAR, Scalability|5-37
What are "Watch Lists" in biometric authentication?|A subset of identification where the goal is to identify members of a specific group. It involves more comparisons than verification but fewer than full identification.|Biometrics, Watch Lists, Identification|5-38
If the probability of a false acceptance is 1/1000 per template match, and there are 10 templates in a watch list, what is the overall probability of false acceptance?|The probability of a false acceptance is 10 * (1/1000) = 1%.|Biometrics, Watch Lists, FAR|5-38
In biometric systems, which is worse: a false acceptance or a false rejection?|It depends on the situation.<br>- For computer access (identification or verification), a false acceptance is a security violation (worse), while a false rejection is an inconvenience.<br>- For a watch list for door access, a false acceptance is a security violation (worse), while a false rejection is an inconvenience.<br>- For a watch list for terrorists, a false rejection (missing a terrorist) is a security violation (worse), while a false acceptance (misidentifying an innocent person) is an inconvenience (though potentially serious).|Biometrics, FAR, FRR, Risk Assessment|5-39
What are the characteristics of fingerprint recognition biometrics?|Simple, inexpensive, and well-proven. Most biometrics today are fingerprint recognition. Can replace reusable passwords for low-risk applications.|Biometrics, Fingerprint Recognition, Pros & Cons|5-40
How can fingerprint recognition sometimes be defeated?|With latent fingerprints (left on surfaces like glass) copied to gelatin fingers.|Biometrics, Fingerprint Recognition, Vulnerabilities|5-40
What is iris recognition based on?|The pattern in the colored part of the eye.|Biometrics, Iris Recognition|5-41
How does iris recognition work and what are its characteristics?|It uses a camera (no light is shined into the eye, contrary to some movies). It has very low False Acceptance Rates (FARs) but is very expensive.|Biometrics, Iris Recognition, Accuracy, Cost|5-41
What is a key feature of face recognition?|Surreptitious identification is possible (e.g., in airports), meaning it can be done without the subject's knowledge.|Biometrics, Face Recognition, Surreptitious Use|5-42
What is a major drawback of face recognition?|High error rates, even without active deception.|Biometrics, Face Recognition, Accuracy|5-42
What is hand geometry biometrics based on, and where is it typically used?|Based on the shape of the hand. The reader is very large, so it's usually used for door access.|Biometrics, Hand Geometry, Usage|5-42
What are the characteristics of voice recognition biometrics?|High error rates and easily deceived by recordings.|Biometrics, Voice Recognition, Accuracy, Vulnerabilities|5-43
What are some other forms of biometric authentication mentioned?|- Veins in the hand<br>- Keystroke recognition (pace in typing password)<br>- Signature recognition (hand-written signature)<br>- Gait recognition (the way a person walks)|Biometrics, Types, Emerging Technologies|5-43
What types of authentication do cryptographic systems provide?|Initial authentication (verifying identity at the start) and message-by-message authentication (verifying the source and integrity of each message).|Cryptography, Authentication, Types|5-44
What does MS-CHAP use for initial authentication?|Passwords. (MS-CHAP is Microsoft Challenge-Handshake Authentication Protocol).|MS-CHAP, Passwords, Initial Authentication|5-44
What do electronic signatures provide?|Message-by-message authentication.|Electronic Signatures, Message Authentication|5-44
What are Key-Hashed Message Authentication Codes (HMACs)?|A type of electronic signature that is fast and inexpensive.|HMAC, Electronic Signatures, Message Authentication|5-44
What are digital signatures with digital certificates?|A type of electronic signature that is extremely strong but slow.|Digital Signatures, Digital Certificates, Message Authentication|5-44
Can public key authentication with digital certificates be used for initial authentication?|Yes, they are also good for initial authentication, in addition to message-by-message authentication.|PKI, Digital Certificates, Initial Authentication|5-44
What are Public Key Infrastructures (PKIs)?|Systems used to manage and distribute digital certificates, which bind public keys to identities.|PKI, Digital Certificates, Key Management|5-45
Can firms be their own certificate authorities (CAs) in a PKI?|Yes, firms can be their own CAs, but it requires a great deal of labor.|PKI, CA, Certificate Authority, Implementation|5-45
What is "provisioning" in the context of PKI and user access?|Giving the user access credentials (e.g., a digital certificate).|PKI, Provisioning, Credential Management|5-45, 5-46
What is often the weakest link in PKI provisioning?|Human registration, because if an impostor is given credentials, no technology access controls will work.|PKI, Provisioning, Human Factor, Security Risks|5-46
What are some important aspects of secure provisioning in PKI?|- Limit who can submit names for registration.<br>- Limit who can authorize registration.<br>- Have rules for exceptions.<br>- Must have effective terminating procedures (when access is no longer needed).<br>- Supervisors and Human Resources department must assist.|PKI, Provisioning, Best Practices, Security Procedures|5-46
Briefly describe the PKI process shown in Figure 5-18 for Lee (Supplicant) getting a certificate and Cheng (Verifier) checking it.|1. Lee generates a private key and sends the public key to the Certificate Authority (CA/PKI Server).<br>2. The CA issues a digital certificate for Lee's public key and sends it back to Lee.<br>3. Later, Lee (Supplicant) wants to communicate with Cheng (Verifier). Lee presents their certificate to Cheng.<br>4. (5a) Cheng receives Lee's certificate.<br>5. (5b) Cheng may check with the CA if Lee's certificate is still valid (revocation check).<br>6. (5c) The CA answers regarding the certificate's status. Cheng can then trust Lee's public key if the certificate is valid.|PKI, Certificate Issuance, Certificate Validation, Process|Fig 5-18, 5-47
What is the difference between Authentication and Authorization?|- Authentication is proof of identity (who you are).<br>- Authorization is the assignment of permissions (what you are allowed to do) to individuals or roles.|Authentication, Authorization, Permissions|5-48
Does being authenticated mean you can do everything?|No, just because you are authenticated does not mean that you should be able to do everything.|Authorization, Access Rights|5-48
What is the "Principle of Least Permissions"?|Initially give people only the permissions they absolutely need to do their job. If an assignment is too narrow, additional permissions can be given later.|Authorization, Least Privilege, Security Principle|5-49
What is an advantage of following the Principle of Least Permissions, even if it inconveniences users?|Errors in permission assignment tend not to create security problems (it "fails safely"). This may frustrate users somewhat if they need more access later.|Authorization, Least Privilege, Fail Safe|5-49
Why is giving extensive or full permissions initially a bad practice?|- The user will almost always have more permissions than needed.<br>- If permissions are later taken away, errors in this process could still leave excessive permissions (does not "fail safely").<br>- This could allow users to take actions contrary to security policy.|Authorization, Over-Privileging, Security Risks|5-50
How does Auditing relate to Authentication and Authorization?|- Authentication: Who a person is.<br>- Authorization: What a person may do with a resource.<br>- Auditing: What the person actually did.|Auditing, Authentication, Authorization, Accountability|5-51
What is logging in the context of auditing?|Recording events, such as logins, failed login attempts, file deletions, etc., on a server. These events are stored in a log file.|Auditing, Logging, Log Files, Event Tracking|5-52
Why is regular log reading crucial?|If logs are not read regularly, the log becomes a useless write-only memory, and important security incidents might be missed.|Auditing, Log Analysis, Security Monitoring|5-53
What practices help ensure log files are useful?|- Regular log reading.<br>- Periodic external audits of log file entries and reading practices.<br>- Automatic alerts for strong threats.|Auditing, Log Management, Best Practices|5-53
What is the role of a RADIUS Central Authentication Server as shown in Figure 5-21?|1. A supplicant sends credentials (e.g., password) to an Authenticator (e.g., a network access server).<br>2. The Authenticator forwards these credentials to the RADIUS server to check if they are OK.<br>3. The RADIUS server verifies the credentials and sends back an OK (or rejection) and any authorizations.<br>4. If OK, the Authenticator grants access (e.g., "Welcome") to the supplicant.|RADIUS, Central Authentication, Network Access|Fig 5-21, 5-54
What is Kerberos?|Kerberos is a network authentication protocol designed to provide strong authentication for client/server applications by using secret-key cryptography.|Kerberos, Authentication Protocol|5-55, 5-56
Describe the Kerberos Initial Login process (Figure 5-22).|1. The supplicant (user on a client PC) sends their name and authentication credentials (derived from their password) to the Kerberos server (Key Distribution Center - KDC).<br>2. If authentication is successful, the KDC issues a ticket-granting ticket (TGT) back to the supplicant. This TGT is proof of identity.|Kerberos, Initial Login, TGT, KDC|Fig 5-22, 5-55
Describe the Kerberos Ticket Granting Service process (Figure 5-23) for accessing a Verifier (server).|1. The Supplicant (client PC) sends its TGT and the name of the Verifier (service it wants to access) to the Kerberos server (KDC).<br>2. The KDC verifies the TGT and issues a symmetric session key (A-V SSK) and a service ticket (S-TKT) for that specific Verifier. These are sent back to the Supplicant.<br>3. The Supplicant sends the service ticket (S-TKT, which contains the A-V SSK encrypted with the Verifier's key) to the Verifier.<br>4. The Verifier decrypts the service ticket to get the symmetric session key (A-V SSK).<br>5. The Supplicant and Verifier can now communicate securely using the shared A-V SSK.|Kerberos, Ticket Granting, Service Ticket, Session Key|Fig 5-23, 5-56
What are directory servers?|Central repositories for information about people, equipment, software, and databases.|Directory Servers, Information Repository|5-57
How is data typically organized in directory servers?|Directory servers use a hierarchical database organization. The database schema is a hierarchical collection of objects (nodes).|Directory Servers, Hierarchical Database, Data Organization|5-57
What does Figure 5-24 illustrate about Directory Server Organization?|It shows a directory server with a hierarchical object structure (e.g., University -> Faculty -> Brown). It also shows other servers (Kerberos, Radius) potentially interacting with it, for example, to get Brown's digital certificate via an LDAP request. O=Organization, OU=Organizational Unit, CN=Common Name.|Directory Servers, Hierarchy, LDAP, Example|Fig 5-24, 5-58
What is LDAP?|Lightweight Directory Access Protocol. It is used to retrieve data from a directory server.|LDAP, Directory Access, Protocol|5-59
How can a directory server be used to centralize authentication information (Figure 5-25)?|A central directory server can store identity data. Multiple authentication servers (A and B) can query this directory server for information needed to authenticate supplicants (Y, Z, X) connecting through various authenticators (Q, P, R).|Directory Servers, Centralized Authentication, Identity Data|Fig 5-25, 5-60
What is Microsoft Active Directory (AD)?|A directory service developed by Microsoft for Windows domain networks. It is included in most Windows Server operating systems. [External Supplement]|Active Directory, Microsoft, Directory Service|5-61, 5-62
How are corporations often divided in a Microsoft environment, as shown in Figure 5-26?|The corporation is divided into Microsoft domains (e.g., Domain X, Domain Y, Domain Z).|Active Directory, Domains, Organization|Fig 5-26, 5-61
What controls domains in Active Directory?|Domains are controlled by domain controllers. A domain can have multiple domain controllers.|Active Directory, Domain Controllers|Fig 5-26, 5-61
What services does each domain controller typically run?|Each domain controller runs Kerberos and Active Directory (AD) services. It contains the Kerberos server and active directory database.|Active Directory, Domain Controllers, Kerberos, Services|Fig 5-26, 5-61
What is a "tree of domains" in Active Directory?|Multiple domains can be organized into a hierarchical tree structure.|Active Directory, Domain Tree|Fig 5-26, 5-62
What is a "forest of trees" in Active Directory?|Multiple domain trees can form a forest. (Not explicitly shown in the diagram but mentioned).|Active Directory, Domain Forest|Fig 5-26, 5-62
How does replication work between domain controllers in Active Directory?|- Domain controllers within the same domain perform total replication of that domain's data.<br>- Domain controllers in parent and child domains (in a tree) do partial replication.|Active Directory, Replication, Data Synchronization|Fig 5-26, 5-62
What is Identity Management (IdM)?|The centralized policy-based management of all information required for access to corporate systems by a person, machine, program, or other resource.|Identity Management, IdM, Centralized Control|5-63
What is an "identity" in the context of IdM?|The set of attributes about a person or nonhuman resource that must be revealed in a particular context.|Identity Management, Attributes, Context|5-64
What is the "Principle of minimum identity data"?|Only reveal the information (attributes) necessary in a particular context.|Identity Management, Minimum Disclosure, Privacy|5-64
What are key aspects of Identity Lifecycle Management?|- Initial credential checking<br>- Defining identities (pieces of information to be divulged)<br>- Managing trust relationships<br>- Provisioning, reprovisioning if changes, and deprovisioning<br>- Implementing controlled decentralization<br>- Providing self-service functions (e.g., password reset)|Identity Management, Lifecycle, Processes|5-65
What does "trust" mean in the context of directory servers and identity management?|It means that one directory server will accept information from another.|Identity Management, Trust, Directory Servers|5-66
What are different types of trust relationships in identity management?|- Mutual (Bidirectional): Both servers trust each other.<br>- One-way: One server trusts another, but the trust is not reciprocated.<br>- Transitive: If Server X trusts Y, and Y trusts Z, then X automatically trusts Z.<br>- Intransitive: If Server X trusts Y, and Y trusts Z, X does not automatically trust Z.|Identity Management, Trust Types, Relationships|5-66
What is the role of a Metadirectory server as shown in Figure 5-28?|A Metadirectory server synchronizes multiple directory servers. For example, if a user changes their password in one system (e.g., AD server X), the metadirectory server propagates this change to other connected directory servers (e.g., Sun ONE directory server, Kerberos authentication server), allowing the user (Supplicant X) to log in with the new password across different systems.|Metadirectory, Synchronization, Identity Management|Fig 5-28, 5-67
What is Federated Identity Management?|A system where business partners do not access each other's identity databases directly. Instead, they send assertions (statements) about a person, and the receiver trusts these assertions.|Federated IdM, Trust, Assertions, Interoperability|Fig 5-29, 5-68
What is SAML (Security Association Markup Language)?|An XML-based standard for exchanging authentication and authorization data between parties, particularly in federated identity management. SAML 2.0 Assertion uses XML for platform independence.|SAML, Federated IdM, XML, Standard|Fig 5-29, 5-68, 5-69
What kind of information can a SAML Assertion contain?|- Authentication: e.g., User AX is authenticated.<br>- Authorizations: e.g., User AX can Buy, Check Status.<br>- Attributes: e.g., User AX's role is Buyer, Purchase Limit is X.|SAML, Assertions, Authentication, Authorization, Attributes|Fig 5-29, 5-68, 5-69
What are some benefits of Identity Management?|- Reduction in redundant work to manage identity information.<br>- Consistency in information.<br>- Rapid changes (propagation of updates).<br>- Central auditing.<br>- Single Sign-On (SSO) or at least reduced sign-on.<br>- Increasingly required to meet compliance requirements.|Identity Management, Benefits, SSO, Compliance|5-70
